,Name,Family,Genus,Order,Suitable Soil pH,Watering Frequency,Placement
0,Jasmine,Oleaceae,Jasminum; L.,Lamiales,4.9-8.3,regularly (2-3 per week),Outdoor
1,Curcuma caesia,Zingiberaceae,Curcuma,Zingiberales,4.5-6.5,regularly (2 per week),Outdoor
2,Curry Tree,Rutaceae,Murraya,Sapindales,5.6-6,regularly (2 per week),Outdoor
3,Indian gooseberry,Phyllanthaceae,Phyllanthus,Malpighiales,6.5-9.5,regularly (2-3 per week),Outdoor
4,Hibiscus,Malvaceae,Hibiscus,Malvales,5.5-6.5,regularly (1-2 per week),Outdoor
5,Rose apple,Myrtaceae,Syzygium,Myrtales,5.5-6.5,regularly (1-2 per week),Outdoor
6,Passiflora incarnata (Purple),Passifloraceae,Passiflora,Malpighiales,6.1-7.5,regularly (1-2 per week),Outdoor
7,White-fleshed pitahaya,Cactaceae,Selenicereus,Caryophyllales,5.5-6.5,regularly (1-2 per week),Outdoor
8,Chrysanthemums,Asteraceae,Chrysanthemum,Asterales,6.5-7.0,regularly (2-3 per week),Outdoor
9,Mentha,Mints,Mentha,Lamiales,6.0-7.5,regularly (2-3 per week),Outdoor
10,Sapodilla,Sapotaceae,Manilkara,Heathers and allies,6.0-8.0,regularly (1-2 per week),Outdoor
11,Snake gourd,Cucurbitaceae,Trichosanthes,Cucurbitales,6.0-7.0,regularly (2-3 per week),Outdoor
12,Key lime,Rutaceae,Citrus,Sapindales,5.5-7.5,regularly (2-3 per week),Outdoor
13,Cucumber,Cucurbitaceae,Cucumis,Cucurbitales,6.0-8.5,regularly (2-3 per week),Outdoor
14,Trailing arbutus,Ericaceae,Epigaea,Heathers and allies,6.1-6.8,regularly (2-3 per week),Outdoor
15,Betel,Piperaceae,Pepper plants,Piperales,5.6-8.2,regularly (2-3 per week),Outdoor
16,Wild sweetsop,Annonaceae,Annona reticulata,Magnoliales,5.0-8.0,regularly (2-3 per week),Outdoor
17,Jack tree,Moraceae,Artocarpus,Rosales,6.0-6.5,regularly (2-3 per week),Outdoor
18,Cymbopogon citratus,Poaceae,Fress Lemongrass,Poales,5.0-5.8,regularly (2-3 per week),Outdoor
19,Amorphophallus paeoniifolius,Araceae,Amorphophallus,Alismatales,5.5-7.0,regularly (1-2 per week),Outdoor
20,Chamaecostus cuspidatus,Costaceae,Chamaecostus,Zingiberales,6.5-7.5,regularly (2-3 per week),Outdoor
21,Nyctanthes arbor-tristis,Oleaceae,Nyctanthes,Lamiales,5.6-6.0,regularly (2-3 per week),Outdoor
22,Amaranthus,Amarnathaceae,Amaranthus;L,Caryophyllales,4.5-8.0,regularly (2-3 per week),Outdoor
23,Calabash,Cucurbitaceae,Lagenaria,Cucurbitales,6.5-7.5,periodically (1 per week),Outdoor
24,Leonotis nepetifolia,Lamiaceae,Leonotis,Lamiales,4.6-6.5,regularly (2-3 per week),Outdoor
25,Spine gourd,Cucurbits,Momordica,Cucurbitales,6.0-7.0,regularly (2-3 per week),Outdoor
26,Clitoria ternatea,Fabaceae,Clitoria,Fabales,5.5-8.9,regularly (2-3 per week),Outdoor
27,Ziziphus mauritiana,Rhamnaceae,Jujube,Rosales,9.2,periodically (1 per week),Outdoor
28,Tinospora cordifolia,Menispermaceae,Tinospora,Ranunculales,6.2-7.6,regularly (2-3 per week),Outdoor
29,Moringa oleifera,Moringaceae,Moringa,Brassicales,4.5-8.5,regularly (2-3 per week),Outdoor
30,Mangifera indica,Anacardiaceae,Mangifera,Sapindales,5.5-7.5,regularly (2-3 per week),Outdoor
31,Echinochloa colona,Poaceae,Barnyard grasses,Poales,5.5-6.5,occasionally (no watering needed),Outdoor
32,Ocimum tenuiflorum,Lamiaceae,Basil,Lamiales,6.0-7.5,regularly (2-3 per week),Outdoor
33,Ajwain,Apiaceae,Trachyspermum,Apiales,6.5-7.5,periodically (1 per 10-14 days),Outdoor
34,Camellia sinensis,Theaceae,Camellia,Ericales,4.2,regularly (2-3 per week),Outdoor
35,Aegle marmelos,Rutaceae,"Aegle,Correa",Sapindales,5.0-10.0,periodically (1 per 7-10 days),Outdoor
36,Epipremnum aureum,Araceae,Epipremnum,Alismatales,6.1-6.5,periodically (1 per week),Indoor
37,Orchid,Orchidaceae,Orchidaceae,Liliopsida, 5.5-6.5,periodically (1 per week),Indoor
38,Tomato,Solanaceae,Solanum,Magnoliopsida, 6.0-7.0,regularly (2-3 per week),Outdoor
39,Sunflower,Asteraceae,Helianthus,Magnoliopsida, 6.0-7.5,periodically (1 per 7-10 days),Outdoor
40,Lavender,Lamiaceae,Lavandula,Magnoliopsida, 6.0-8.0,periodically (1 per 7-10 days),Outdoor
41,Fern,Polypodiaceae,Polypodium,Polypodiopsida, 5.0-6.0,regularly (1-2 per week),Indoor
42,Ficus,Moraceae,Ficus,Magnoliopsida, 6.0-7.5,periodically (1 per week),Indoor
43,Jade Plant,Crassulaceae,Crassula,Magnoliopsida, 6.0-7.5,periodically (1 per 10-14 days),Indoor
44,Tulip,Liliaceae,Tulipa,Liliopsida, 6.0-7.0,regularly (1-2 per week),Outdoor
45,Cactus,Cactaceae,Opuntia,Magnoliopsida, 5.5-7.0,periodically (1 per 2-4 weeks),Indoor/Outdoor
46,Peony,Paeoniaceae,Paeonia,Magnoliopsida, 6.0.-7.5,regularly (1-2 per week),Outdoor
47,Calla Lily,Araceae,Zantedeschia,Liliopsida, 6.0-7.5,periodically (1 per week),Outdoor/Indoor
48,Geranium,Geraniaceae,Pelargonium,Magnoliopsida, 6.0-7.5,periodically (1 per 5-7 days),Outdoor/Indoor
49,Carnation,Caryophyllaceae,Dianthus,Magnoliopsida, 6.0-7.5,periodically (1 per week),Outdoor/Indoor
50,Lily,Liliaceae,Lilium,Liliopsida, 5.5-6.5,periodically (1 per week),Outdoor/Indoor
51,Basil,Lamiaceae,Ocimum,Magnoliopsida, 6.0-7.5,periodically (1 per week),Indoor
52,Snake Plant,Asparagaceae,Sansevieria,Liliopsida, 6.0-7.5,periodically (1 per 2-4 weeks),Indoor
53,Anthurium,Araceae,Anthurium,Liliopsida, 5.5-6.5,periodically (1 per week),Indoor
54,Hydrangea,Hydrangeaceae,Hydrangea,Magnoliopsida, 5.0-6.0,regularly (3 per week),Outdoor
55,Aloe Vera,Asphodelaceae,Aloe,Liliopsida, 6.0-7.0,periodically (1 per 3-4 weeks),Indoor
56,Peperomia,Piperaceae,Peperomia,Magnoliopsida, 6.0-7.5,periodically (1 per 2-3 weeks),Indoor
57,Rosemary,Lamiaceae,Rosmarinus,Magnoliopsida, 6.0-7.5,periodically (1 per 7-10 days),Outdoor/Indoor
58,Strawberry,Rosaceae,Fragaria,Magnoliopsida, 5.5-6.5,regularly (3 per week),Outdoor
59,African Violet,Gesneriaceae,Saintpaulia,Magnoliopsida, 5.5-6.5,periodically (1 per week),Indoor
60,Begonia,Begoniaceae,Begonia,Magnoliopsida, 5.5-7.0,periodically (1 per week),Outdoor/Indoor
61,Marigold,Asteraceae,Calendula,Magnoliopsida, 6.0-7.0,periodically (1 per week),Outdoor
62,Tree Aloe,Asphodelaceae,Aloe,Liliopsida, 6.0-7.5,periodically (1 per 2-3 weeks),Outdoor
63,Dahlia,Asteraceae,Dahlia,Magnoliopsida, 6.0-7.5,periodically (1 per week),Outdoor
64,Gazania,Asteraceae,Gazania,Magnoliopsida, 6.0-7.5,periodically (1 per 2-3 weeks),Outdoor
65,Ivy,Araliaceae,Hedera,Magnoliopsida, 6.0-7.5,periodically (1 per week),Indoor/Outdoor
66,Croton,Euphorbiaceae,Codiaeum,Magnoliopsida, 6.0-7.5,regularly (1 per week),Indoor/Outdoor
67,Geranium,Geraniaceae,Pelargonium,Magnoliopsida, 6-7.5.0,periodically (1 per 5-7 days),Outdoor/Indoor
68,Petunia,Solanaceae,Petunia,Magnoliopsida, 6.0-7.0,periodically (1 per week),Outdoor/Indoor
69,Climbing Hydrangea,Hydrangeaceae,Hydrangea,Magnoliopsida, 5.0-6.0,regularly (2-3 per week),Outdoor
70,Sea Lavender,Plumbaginaceae,Limonium,Magnoliopsida, 6.0-8.0,periodically (1 per week),Outdoor
71,Alder,Betulaceae,Alnus,Magnoliopsida, 6.0-7.0,periodically (1 per week),Outdoor
72,Eucalyptus,Myrtaceae,Eucalyptus,Magnoliopsida, 5.5-7.5,periodically (1 per 2-3 weeks),Outdoor
73,Venus Flytrap,Droseraceae,Dionaea,Magnoliopsida, 4.0-5.0,constantly (always need wet soil),Indoor
74,Water Lily,Nymphaeaceae,Nymphaea,Magnoliopsida, 6.0-8.0,constantly (grow on water),Outdoor
75,Catnip,Lamiaceae,Nepeta,Magnoliopsida, 6.0-7.5,periodically (1 per week),Outdoor/Indoor
76,Pansy,Violaceae,Viola,Magnoliopsida, 6.0-7.0,periodically (1 per week),Outdoor/Indoor
77,Swedish Ivy,Plectranthus,Lamiaceae,Magnoliopsida, 6.0-7.5,periodically (1 per week),Indoor
78,Boston Fern,Polypodiaceae,Nephrolepis,Polypodiopsida, 5.5-6.5,regularly (2-3 per week),Indoor
