,Name,Family,Genus,Order,Plant pH,Suitable Soil pH,Placement,Watering Frequency,Region,Img url
0,Jasmine,Oleaceae,Jasminum,Lamiales,6.6,4.9-8.3,Outdoor,regularly (2-3 per week),Asia,https://media.istockphoto.com/id/1134069126/es/foto/rama-de-jazm%C3%ADn-flores-aisladas-sobre-fondo-blanco.jpg?s=612x612&w=0&k=20&c=kaMKhijyq8SMB6qksaZJAX8IzzsTtLs86a49tZfvv7g=
1,Curcuma caesia,Zingiberaceae,Curcuma,Zingiberales,5.5,4.5-6.5,Outdoor,regularly (2 per week),Asia,http://www.flowersofindia.net/extrapics/Black%20Turmeric-1.jpg
2,Curry Tree,Rutaceae,Murraya,Sapindales,5.8,5.6-6.3,Outdoor,regularly (2 per week),Asia,https://www.flowerpower.com.au/media/catalog/product/cache/bdcf0022850627d2b6422c66929c11b7/9/0/9021900140.jpg
3,Indian gooseberry,Phyllanthaceae,Phyllanthus,Malpighiales,8.0,6.5-9.5,Outdoor,regularly (2-3 per week),Asia,https://media.istockphoto.com/id/628504340/es/foto/la-baya-de-la-espinosa-india-crece-en-el-%C3%A1rbol.jpg?s=612x612&w=is&k=20&c=lppnbyw24y4z4pAzrTBiB-Ha5U47rcHQDHSw8E47FGY=
4,Hibiscus,Malvaceae,Hibiscus,Malvales,6.0,5.5-6.5,Outdoor,regularly (1-2 per week),Asia,https://www.decoalive.com/wp-content/uploads/2021/05/hibiscus-rosa-sinensis.jpg
5,Rose apple,Myrtaceae,Syzygium,Myrtales,6.0,5.5-6.5,Outdoor,regularly (1-2 per week),Asia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Wax_apple2.jpg/220px-Wax_apple2.jpg
6,Passiflora incarnata (Purple),Passifloraceae,Passiflora,Malpighiales,6.8,6.1-7.5,Outdoor,regularly (1-2 per week),North America,"https://m.media-amazon.com/images/I/71-cJXXSaWL._AC_UF1000,1000_QL80_.jpg"
7,White-fleshed pitahaya,Cactaceae,Selenicereus,Caryophyllales,6.0,5.5-6.5,Outdoor,regularly (1-2 per week),South America,https://worldofsucculents.com/wp-content/uploads/2013/12/Hylocereus-undatus-Dragon-Fruit3-450x338.jpg
8,Chrysanthemums,Asteraceae,Chrysanthemum,Asterales,6.0,6.5-7.0,Outdoor,regularly (2-3 per week),Asia,https://www.gardenia.net/storage/app/public/guides/detail/lYJGwwvVorBHXJk1zhYmp4RTJEu1j3AQTvb8bJXa.webp
9,Mentha,Mints,Mentha,Lamiales,6.7,6.0-7.5,Outdoor,regularly (2-3 per week),Europe,https://topfarma.es/wp-content/uploads/2022/08/art-menta-propiedades.png
10,Sapodilla,Sapotaceae,Manilkara,Heathers and allies,7.0,6.0-8.0,Outdoor,regularly (1-2 per week),North America,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/%E0%B4%B8%E0%B4%AA%E0%B5%8D%E0%B4%AA%E0%B5%8B%E0%B4%9F%E0%B5%8D%E0%B4%9F.jpg/1200px-%E0%B4%B8%E0%B4%AA%E0%B5%8D%E0%B4%AA%E0%B5%8B%E0%B4%9F%E0%B5%8D%E0%B4%9F.jpg
11,Snake gourd,Cucurbitaceae,Trichosanthes,Cucurbitales,6.5,6.0-7.0,Outdoor,regularly (2-3 per week),Asia,https://i.etsystatic.com/28764876/r/il/785328/3656949134/il_570xN.3656949134_mr2r.jpg
12,Key lime,Rutaceae,Citrus,Sapindales,6.5,5.5-7.5,Outdoor,regularly (2-3 per week),North America,https://cdn.shopify.com/s/files/1/2045/8185/files/key_lime-containers_large.jpg?v=1535663686
13,Cucumber,Cucurbitaceae,Cucumis,Cucurbitales,7.2,6.0-8.5,Outdoor,regularly (2-3 per week),Asia,https://homesteadandchill.com/wp-content/uploads/2023/03/grow-cucumber-plants-train-trellis-gardeners-homestead-chill-feature-vines.jpg
14,Trailing arbutus,Ericaceae,Epigaea,Heathers and allies,6.5,6.1-6.8,Outdoor,regularly (2-3 per week),North America,https://doorcountypulse.com/wp-content/uploads/2021/04/2-PP-4-23-21-Trailing-arbutus-flowers.jpg
15,Betel,Piperaceae,Pepper plants,Piperales,7.2,5.6-8.2,Outdoor,regularly (2-3 per week),Asia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Betel_Piper_betle.jpg/220px-Betel_Piper_betle.jpg
16,Wild sweetsop,Annonaceae,Annona reticulata,Magnoliales,6.9,5.0-8.0,Outdoor,regularly (2-3 per week),South America,https://thailand.falktime.com/wp-content/uploads/2019/04/2-wild-sugar-apple-sweetsop-annona-noina-top-10-thai-fruits-179.jpg
17,Jack tree,Moraceae,Artocarpus,Rosales,6.5,6.0-6.5,Outdoor,regularly (2-3 per week),Asia,https://cdn.shopify.com/s/files/1/0059/8835/2052/products/Jackfruit_7_FGT_grande.jpg?v=1626190507
18,Cymbopogon citratus,Poaceae,Fress Lemongrass,Poales,6.2,5.0-5.8,Outdoor,regularly (2-3 per week),Asia,https://upload.wikimedia.org/wikipedia/commons/b/bd/YosriNov04Pokok_Serai.JPG
19,Amorphophallus paeoniifolius,Araceae,Amorphophallus,Alismatales,5.4,5.5-7.0,Outdoor,regularly (1-2 per week),Asia,https://www.monaconatureencyclopedia.com/wp-content/uploads/2014/12/v.-Amorphophallus-paeoniifolius.jpg
20,Chamaecostus cuspidatus,Costaceae,Chamaecostus,Zingiberales,6.2,6.5-7.5,Outdoor,regularly (2-3 per week),Asia,"https://m.media-amazon.com/images/I/61COws5qvtL._AC_UF1000,1000_QL80_.jpg"
21,Nyctanthes arbor-tristis,Oleaceae,Nyctanthes,Lamiales,7.0,5.6-6.0,Outdoor,regularly (2-3 per week),Asia,https://i.etsystatic.com/27624376/r/il/ff91c6/3414279012/il_570xN.3414279012_qd2o.jpg
22,Amaranthus,Amarnathaceae,Amaranthus;L,Caryophyllales,5.8,4.5-8.0,Outdoor,regularly (2-3 per week),America,https://www.seeds-gallery.com/6661-large_default/semillas-de-amarantos-amaranthus.jpg
23,Calabash,Cucurbitaceae,Lagenaria,Cucurbitales,6.2,6.5-7.5,Outdoor,periodically (1 per week),Africa,https://newscentral.africa/wp-content/uploads/5068.jpg
24,Leonotis nepetifolia,Lamiaceae,Leonotis,Lamiales,5.8,4.6-6.5,Outdoor,regularly (2-3 per week),Africa,https://usercontent.one/wp/antropocene.it/wp-content/uploads/2021/06/Leonotis_nepetifolia-800x445.jpg?media=1685111666
25,Spine gourd,Cucurbits,Momordica,Cucurbitales,7.0,6.0-7.0,Outdoor,regularly (2-3 per week),Asia,https://www.iihr.res.in/sites/default/files/success_stories/arkabharath1.jpg
26,Clitoria ternatea,Fabaceae,Clitoria,Fabales,5.5,5.5-8.9,Outdoor,regularly (2-3 per week),Asia,https://www.spicarium.com.co/wp-content/uploads/2022/05/clitoria-granitos-643-1024x962.jpg
27,Ziziphus mauritiana,Rhamnaceae,Jujube,Rosales,6.5,8.7-9.2,Outdoor,periodically (1 per week),Africa,https://m.media-amazon.com/images/I/81Rq0Lm+ORL.jpg
28,Tinospora cordifolia,Menispermaceae,Tinospora,Ranunculales,7.2,6.2-7.6,Outdoor,regularly (2-3 per week),Asia,https://static.vecteezy.com/system/resources/previews/016/275/961/non_2x/tinospora-cordifolia-local-name-guduchi-and-giloy-is-an-herbaceous-vine-of-the-family-menispermaceae-indigenous-to-the-tropical-areas-of-india-use-as-ayurveda-medicine-photo.jpg
29,Moringa oleifera,Moringaceae,Moringa,Brassicales,9.2,4.5-8.5,Outdoor,regularly (2-3 per week),Asia,https://i.etsystatic.com/27743352/r/il/f422ed/4031289570/il_570xN.4031289570_d04d.jpg
30,Mangifera indica,Anacardiaceae,Mangifera,Sapindales,6.9,5.5-7.5,Outdoor,regularly (2-3 per week),Asia,https://plantix.net/es/library/assets/custom/crop-images/mango.jpeg
31,Echinochloa colona,Poaceae,Barnyard grasses,Poales,6.5,5.5-6.5,Outdoor,occasionally (no watering needed),Asia,https://www.biodiversidadvirtual.org/herbarium/data/media/21423/Echinochloa-colona-a-confirmar-4d4-195876.jpg
32,Ocimum tenuiflorum,Lamiaceae,Basil,Lamiales,6.5,6.0-7.5,Outdoor,regularly (2-3 per week),Asia,https://usercontent.one/wp/antropocene.it/wp-content/uploads/2021/09/Ocimum_tenuiflorum.jpg?media=1685719275
33,Ajwain,Apiaceae,Trachyspermum,Apiales,6.0,6.5-7.5,Outdoor,periodically (1 per 10-14 days),Asia,https://cdn.shopify.com/s/files/1/0100/1622/7394/articles/Ajwain_Plant.jpg?v=1621581726
34,Camellia sinensis,Theaceae,Camellia,Ericales,6.7,4.2-5.6,Outdoor,regularly (2-3 per week),Asia,https://media.istockphoto.com/id/186859522/es/foto/hojas-de-t%C3%A9-y-flor.jpg?s=612x612&w=0&k=20&c=lRUQq0Hg6hpkBlJRKx2pMYACwyNiqEgkG4OnJfK6S5A=
35,Aegle marmelos,Rutaceae,"Aegle,Correa",Sapindales,7.0,5.0-10.0,Outdoor,periodically (1 per 7-10 days),Asia,"https://images-na.ssl-images-amazon.com/images/I/61q-RIW1PAL._AC_UL600_SR600,600_.jpg"
36,Epipremnum aureum,Araceae,Epipremnum,Alismatales,4.2,6.1-6.5,Indoor,periodically (1 per week),Asia,https://espaciosverdes.org/wp-content/uploads/2021/05/phothos-epipremnum-1.jpg
37,Orchid,Orchidaceae,Orchidaceae,Liliopsida,6.3, 5.5-6.5,Indoor,periodically (1 per week),Worldwide,https://orchidya.com/wp-content/uploads/2022/11/Orchidya-London-Flower-Shop-Delivery-Pink-Orchid-Plant-Amelie-3.jpeg
38,Tomato,Solanaceae,Solanum,Magnoliopsida,6.0, 6.0-7.0,Outdoor,regularly (2-3 per week),America,https://bonnieplants.com/cdn/shop/articles/BONNIE_tomatoes_iStock-481349128-1800px_9f8f5390-a418-4d91-a3d0-00ae0b7900cb.jpg?v=1642541980
39,Sunflower,Asteraceae,Helianthus,Magnoliopsida,6.5, 6.0-7.5,Outdoor,periodically (1 per 7-10 days),Worldwide,https://www.almanac.com/sites/default/files/styles/or/public/image_nodes/sunflower-1627193_1920.jpg?itok=td7mL8qA
40,Lavender,Lamiaceae,Lavandula,Magnoliopsida,6.7, 6.0-8.0,Outdoor,periodically (1 per 7-10 days),Worldwide,https://hips.hearstapps.com/hmg-prod/images/lavenders-royalty-free-image-1679319793.jpg?resize=1200:*
41,Fern,Polypodiaceae,Polypodium,Polypodiopsida,7.0, 5.0-6.0,Indoor,regularly (1-2 per week),Worldwide,https://cdn.britannica.com/30/73130-138-917E422E/Ferns-systems-tracheophytes-leaves-water.jpg?w=800&h=450&c=crop
42,Ficus,Moraceae,Ficus,Magnoliopsida,5.5, 6.0-7.5,Indoor,periodically (1 per week),Worldwide,https://cdn.shopify.com/s/files/1/0272/1392/2339/products/Ficus_Elastica_Robusta_17bo_creta_comprar-plantas-online_plantas-de-interior_1024x.jpg?v=1674750036
43,Jade Plant,Crassulaceae,Crassula,Magnoliopsida,6.7, 6.0-7.5,Indoor,periodically (1 per 10-14 days),Africa,https://hips.hearstapps.com/hmg-prod/images/jade-plant-1-645157c445e14.jpg?resize=980:*
44,Tulip,Liliaceae,Tulipa,Liliopsida,6.7, 6.0-7.0,Outdoor,regularly (1-2 per week),Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/%D7%A6%D7%91%D7%A2%D7%95%D7%A0%D7%99%D7%9D.JPG/800px-%D7%A6%D7%91%D7%A2%D7%95%D7%A0%D7%99%D7%9D.JPG
45,Cactus,Cactaceae,Opuntia,Magnoliopsida,6.5, 5.5-7.0,Both,periodically (1 per 2-4 weeks),America,"https://res.cloudinary.com/fronda/image/upload/f_auto,q_auto/productos/fol/10089/10089588_1.jpg?18-01-2023"
46,Peony,Paeoniaceae,Paeonia,Magnoliopsida,6.2, 6.0.-7.5,Outdoor,regularly (1-2 per week),Worldwide,https://media.istockphoto.com/id/177130955/es/foto/peon%C3%ADa-rosa.jpg?s=612x612&w=0&k=20&c=c6KlB4IF54theGpzZMBAKFvBX52HMp5e8WVdO-iwR7U=
47,Calla Lily,Araceae,Zantedeschia,Liliopsida,6.7, 6.0-7.5,Both,periodically (1 per week),Africa,https://www.chalily.com/wp-content/uploads/2022/04/CallaLily-1.jpg
48,Geranium,Geraniaceae,Pelargonium,Magnoliopsida,6.7, 6.0-7.5,Both,periodically (1 per 5-7 days),Africa,https://www.mydomaine.com/thmb/lA4HwmYdR4sNbOzRZb2T9gnP9Ho=/2121x0/filters:no_upscale():strip_icc()/how-to-grow-geranium-928cca905646455cb11d4d354cbff40d.jpg
49,Carnation,Caryophyllaceae,Dianthus,Magnoliopsida,6.7, 6.0-7.5,Both,periodically (1 per week),Worldwide,https://www.thespruce.com/thmb/-Sfafv-9bnFVBDAxIAW7plnYWus=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/carnation-plant-profile-5111942-hero-b5d409d314e44585abc05834ab8d489a.jpg
50,Lily,Liliaceae,Lilium,Liliopsida,6.7, 5.5-6.5,Both,periodically (1 per week),Worldwide,https://www.almanac.com/sites/default/files/styles/or/public/image_nodes/pink%20lilies-Anastasios71-SS.jpeg?itok=mmh-o8yf
51,Basil,Lamiaceae,Ocimum,Magnoliopsida,6.0, 6.0-7.5,Indoor,periodically (1 per week),Worldwide,https://cdn.loveandlemons.com/wp-content/uploads/2019/07/IMG_2600-2-1.jpg
52,Snake Plant,Asparagaceae,Sansevieria,Liliopsida,6.7, 6.0-7.5,Indoor,periodically (1 per 2-4 weeks),Africa,https://h2.commercev3.net/cdn.brecks.com/images/800/76621A.jpg
53,Anthurium,Araceae,Anthurium,Liliopsida,6.7, 5.5-6.5,Indoor,periodically (1 per week),America,https://floristeriajerico.es/566-home_default/anthurium.jpg
54,Hydrangea,Hydrangeaceae,Hydrangea,Magnoliopsida,6.0, 5.0-6.0,Outdoor,regularly (3 per week),Worldwide,https://t4.ftcdn.net/jpg/01/22/81/19/360_F_122811954_DCzM5yEoVzpvgbQ3EJiN51mU6AL7sXBv.jpg
55,Aloe Vera,Asphodelaceae,Aloe,Liliopsida,5.5, 6.0-7.0,Indoor,periodically (1 per 3-4 weeks),Africa,https://quieronaranjas.com/3123-large_default/aloe-vera-ecologica-1-hoja.jpg
56,Peperomia,Piperaceae,Peperomia,Magnoliopsida,6.5, 6.0-7.5,Indoor,periodically (1 per 2-3 weeks),South America,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Peperomia_obtusifolia_3-OB9.jpg/1200px-Peperomia_obtusifolia_3-OB9.jpg
57,Rosemary,Lamiaceae,Rosmarinus,Magnoliopsida,6.7, 6.0-7.5,Both,periodically (1 per 7-10 days),Worldwide,https://images.immediate.co.uk/production/volatile/sites/30/2020/02/Rosemary-sprig-7d96e10.jpg
58,Strawberry,Rosaceae,Fragaria,Magnoliopsida,6.7, 5.5-6.5,Outdoor,regularly (3 per week),Worldwide,https://as1.ftcdn.net/v2/jpg/01/84/19/48/1000_F_184194843_NZ2oun50fj6jIeW6xh940xMOSnDDSIZf.jpg
59,African Violet,Gesneriaceae,Saintpaulia,Magnoliopsida,6.0, 5.5-6.5,Indoor,periodically (1 per week),Africa,https://africanvioletresourcecenter.com/wp-content/uploads/2022/10/How-Big-Do-African-Violets-Get1-1024x1024.jpg
60,Begonia,Begoniaceae,Begonia,Magnoliopsida,6.0, 5.5-7.0,Both,periodically (1 per week),Worldwide,https://images.hola.com/imagenes/decoracion/20211019198010/cultivar-begonia-consejos-mc/1-9-796/begonias-t.jpg
61,Marigold,Asteraceae,Calendula,Magnoliopsida,6.2, 6.0-7.0,Outdoor,periodically (1 per week),Worldwide,https://www.gardendesign.com/pictures/images/900x705Max/dream-team-s-portland-garden_6/marigold-flowers-orange-pixabay_12708.jpg
62,Tree Aloe,Asphodelaceae,Aloe,Liliopsida,6.5, 6.0-7.5,Outdoor,periodically (1 per 2-3 weeks),Africa,https://www.gardenia.net/storage/app/public/uploads/images/tNDZjbhJgndoVr9oO7WTTdM1lihoDWaFrnJOPv0p.webp
63,Dahlia,Asteraceae,Dahlia,Magnoliopsida,6.7, 6.0-7.5,Outdoor,periodically (1 per week),America,https://media.istockphoto.com/id/153381618/es/foto/dalia-de-orange.jpg?s=612x612&w=0&k=20&c=mo0y4g9DB-DdMCsQlbllY70aXjW7Xs6_g38zAC6abuw=
64,Gazania,Asteraceae,Gazania,Magnoliopsida,6.7, 6.0-7.5,Outdoor,periodically (1 per 2-3 weeks),Africa,https://theoriginalgarden.com/Argazkiak/Fotos/GAZANIASPLENDENSRigensSunshineGazania_1.jpg
65,Ivy,Araliaceae,Hedera,Magnoliopsida,6.7, 6.0-7.5,Both,periodically (1 per week),Worldwide,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Hedera_helix_Dover.jpg/1200px-Hedera_helix_Dover.jpg
66,Croton,Euphorbiaceae,Codiaeum,Magnoliopsida,6.7, 6.0-7.5,Both,regularly (1 per week),Worldwide,https://i.etsystatic.com/23697056/r/il/96bf96/2915746901/il_1080xN.2915746901_jukb.jpg
67,Geranium,Geraniaceae,Pelargonium,Magnoliopsida,6.7, 6-7.5.0,Both,periodically (1 per 5-7 days),Africa,https://www.mydomaine.com/thmb/lA4HwmYdR4sNbOzRZb2T9gnP9Ho=/2121x0/filters:no_upscale():strip_icc()/how-to-grow-geranium-928cca905646455cb11d4d354cbff40d.jpg
68,Petunia,Solanaceae,Petunia,Magnoliopsida,6.7, 6.0-7.0,Both,periodically (1 per week),America,https://media.istockphoto.com/id/648717484/es/foto/p%C3%BArpura-petunia-flores-en-el-jard%C3%ADn.jpg?s=612x612&w=0&k=20&c=aj0dSMSYjH7vAVcoXSd2NxGLIH0ZKSaF7oUfYAyV6yU=
69,Climbing Hydrangea,Hydrangeaceae,Hydrangea,Magnoliopsida,6.7, 5.0-6.0,Outdoor,regularly (2-3 per week),Asia,https://www.thespruce.com/thmb/lNeZTL5LhZqK-55Nz6vQPfb12d0=/6016x0/filters:no_upscale():max_bytes(150000):strip_icc()/climbing-hydrangea-vines-2132893-hero-d065c410662e46f1ac4eecee5ebf713c.jpg
70,Sea Lavender,Plumbaginaceae,Limonium,Magnoliopsida,6.5, 6.0-8.0,Outdoor,periodically (1 per week),Europe,https://animals.sandiegozoo.org/sites/default/files/2019-09/sealavendar01.jpg
71,Alder,Betulaceae,Alnus,Magnoliopsida,5.5, 6.0-7.0,Outdoor,periodically (1 per week),Worldwide,https://cdn.britannica.com/81/219981-050-9036864A/male-catkins-branch-alder-plant.jpg
72,Eucalyptus,Myrtaceae,Eucalyptus,Magnoliopsida,7.0, 5.5-7.5,Outdoor,periodically (1 per 2-3 weeks),Oceania,https://horticulture.co.uk/wp-content/uploads/2022/09/eucalyptusplantcare-header.jpg
73,Venus Flytrap,Droseraceae,Dionaea,Magnoliopsida,6.5, 4.0-5.0,Indoor,constantly (always need wet soil),North America,https://cdn.britannica.com/70/174670-050-4E88819D/fly-Venus.jpg
74,Water Lily,Nymphaeaceae,Nymphaea,Magnoliopsida,6.5, 6.0-8.0,Outdoor,constantly (grow on water),Worldwide,https://www.southernliving.com/thmb/o0ZIPq04I2VaYPbyPkpn88ICFI0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/gettyimages-970984818-2000-4a2ce04f15f24a75bbb70a1d4e65c714.jpg
75,Catnip,Lamiaceae,Nepeta,Magnoliopsida,4.5, 6.0-7.5,Both,periodically (1 per week),Europe,https://www.consumer.es/app/uploads/2019/07/img_gatos-catnip-hierbas.jpg
76,Pansy,Violaceae,Viola,Magnoliopsida,7.0, 6.0-7.0,Both,periodically (1 per week),Europe,https://ferrymorse.com/cdn/shop/products/6218_SwissGiantsMixedColorsPansyseeds_FerryMorse.jpg?v=1609782542
77,Swedish Ivy,Plectranthus,Lamiaceae,Magnoliopsida,6.7, 6.0-7.5,Indoor,periodically (1 per week),Africa,https://i.etsystatic.com/22817684/r/il/993ebb/3013372531/il_fullxfull.3013372531_5m95.jpg
78,Boston Fern,Polypodiaceae,Nephrolepis,Polypodiopsida,6.5, 5.5-6.5,Indoor,regularly (2-3 per week),Worldwide,https://gardenerspath.com/wp-content/uploads/2022/04/Large-Boston-Fern-Growing-in-a-Pot-Outdoors.jpg
